"Puppis","Pup","S","2,06",4
"Aquila","Aql","N S","0,77",3
"Ara","Ara","S","2,85",2
"Andromeda","And","N","2,06",3
"Bootes","Boo","N","−0,04",3
"Crater","Crt","S","3,56",0
"Sculptor","Scl","S","4,31",0
"Chamaeleon","Cha","S","4,05",0
"Fornax","For","S","3,87",0
"Delphinus","Del","N","3,63",0
"Draco","Dra","N","2,23",3
"Triangulum","Tri","N",3,1
"Lacerta","Lac","N","3,77",0
"Monoceros","Mon","N S","3,76",0
"Eridanus","Eri","N S","0,45",4
"Pisces","Psc","N S","3,62",0
"Musca","Mus","S","2,69",1
"Volans","Vol","S","3,77",0
"Vulpecula","Vul","N","4,44",0
"Auriga","Aur","N","0,08",5
"Equuleus","Equ","N","3,92",0
"Camelopardalis","Cam","N","4,03",0
"Caelum","Cae","S","4,45",0
"Ursa Major","UMa","N","1,76",6
"Canis Major","CMa","S","−1,44",5
"Coma Berenices","Com","N","4,26",0
"Lepus","Lep","S","2,58",2
"Hercules","Her","N","2,78",2
"Indus","Ind","S","3,11",0
"Canes Venatici","CVn","N","2,9",1
"Virgo","Vir","N S","0,98",2
"Cassiopeia","Cas","N","2,24",4
"Cepheus","Cep","N","2,45",1
"Carina","Car","S","−0,62",6
"Hydrus","Hyi","S","2,82",2
"Ursa Minor","UMi","N","1,97",2
"Canis Minor","CMi","N S","0,4",2
"Leo Minor","LMi","N","3,83",0
"Grus","Gru","S","1,74",2
"Cancer","Cnc","N","3,52",0
"Crux","Cru","S","0,77",4
"Lyra","Lyr","N","0,03",1
"Leo","Leo","N S","1,36",5
"Lynx","Lyn","N","3,13",0
"Antlia","Ant","S","4,25",0
"Pictor","Pic","S","3,27",0
"Microscopium","Mic","S","4,67",0
"Reticulum","Ret","S","3,33",0
"Corona Borealis","CrB","N","2,22",1
"Octans","Oct","S","3,76",0
"Orion","Ori","N S","0,12",8
"Apus","Aps","S","3,83",0
"Pegasus","Peg","N","2,39",5
"Horologium","Hor","S","3,85",0
"Perseus","Per","N","1,79",5
"Pavo","Pav","S","1,94",1
"Sagitta","Sge","N","3,51",0
"Phönix","Phe","S","2,39",1
"Corvus","Crv","S","2,59",3
"Pyxis","Pyx","S","3,68",0
"Scutum","Sct","S","3,85",0
"Serpens","Ser","N S","2,63",1
"Ophiuchus","Oph","N S","2,08",5
"Sagittarius","Sgr","S","1,79",7
"Cygnus","Cyg","N","1,25",5
"Dorado","Dor","S","3,27",0
"Vela","Vel","S","1,75",5
"Sextans","Sex","N S","4,49",0
"Scorpius","Sco","S","1,06",11
"Capricornus","Cap","S","2,73",1
"Taurus","Tau","N S","0,85",4
"Corona Australis","CrA","S","4,1",0
"Piscis Austrinus","PsA","S","1,16",1
"Triangulum Australe","TrA","S","1,91",3
"Mensa","Men","S","5,09",0
"Columba","Col","S","2,65",1
"Telescopium","Tel","S","3,51",0
"Tucana","Tuc","S","2,86",1
"Libra","Lib","S","2,61",2
"Cetus","Cet","N S","2,04",2
"Aquarius","Aqr","N S","2,9",2
"Hydra","Hya","N S","1,98",2
"Aries","Ari","N","2,01",2
"Norma","Nor","S","4,02",0
"Lupus","Lup","S","2,3",3
"Centaurus","Cen","S","−0,01",9
"Circinus","Cir","S","3,19",0
"Gemini","Gem","N","1,16",4
"IAU-Name
","сокращ","полушарие","max. vis. Hellig-
keit (mag) ","Sterne
<3,0m "
