α Центавра / Проксима Центавра ,1,"M5,5Ve ","11,09","4,2421 ± 0,0016",Cen
α Центавра / A ,2,G2V ,"0,01","4,3650 ± 0,0068",Cen
α Центавра / B ,2,K1V ,"1,34","4,3650 ± 0,0068",Cen
Звезда Барнарда ,4,M4Ve,"9,53","5,9630 ± 0,0109",Oph
Луман 16 / A,5,L8,"23,25","6,588 ± 0,062 ",Vel
Луман 16 / B,5,L9/T1,"24,07","6,588 ± 0,062 ",Vel
WISE 0855–0714 ,7,Y,,"7,18+0,78",Hya
Вольф 359 ,8,M6V ,"13,44","7,7825 ± 0,0390",Leo
Лаланд 21185 ,9,M2V ,"7,47","8,2905 ± 0,0148",Uma
Сириус / Сириус A ,10,A1V ,"−1,43 ","8,5828 ± 0,0289",Cma
Сириус / Сириус B ,10,DA2 ,"8,44","8,5828 ± 0,0289",Cma
Лейтен 726-8 / A ,12,"M5,5Ve","12,54","8,7280 ± 0,0631",Cet
Лейтен 726-8 / B ,12,M6Ve,"12,99","8,7280 ± 0,0631",Cet
Росс 154 ,14,"M3,5Ve","10,43","9,6813 ± 0,0512",Sgr
Росс 248 ,15,"M5,5Ve","12,29","10,322 ± 0,036",And
WISE 1506+7027 ,16,T6,,"10,521",Umi
ε Эридана[20] ,17,K2V,"3,73","10,522 ± 0,027",Eri
Лакайль 9352 ,18,"M1,5Ve","7,34","10,742 ± 0,031",PsA
Росс 128 ,19,M4Vn,"11,13","10,919 ± 0,049",Vir
WISE 0350-5658 ,20,Y1,,"11,208",Ret 
EZ Водолея / A ,21,M5Ve,"13,33","11,266 ± 0,171",Aqr
EZ Водолея / B ,21,M?,"13,27","11,266 ± 0,171",Aqr
EZ Водолея / C ,21,M?,"14,03","11,266 ± 0,171",Aqr
Процион / A ,24,F5V-IV ,"0,38","11,402 ± 0,032",Cmi
Процион / B ,24,DA ,"10,7","11,402 ± 0,032",Cmi
61 Лебедя / A ,26,K5V ,"5,21","11,403 ± 0,022",Cyg 
61 Лебедя / B ,26,K7V ,"6,03","11,403 ± 0,022",Cyg 
Струве 2398 / A ,28,M3V ,"8,9","11,525 ± 0,069",Dra
Струве 2398 / B ,28,"M3,5V ","9,69","11,525 ± 0,069",Dra
Грумбридж 34 / A ,30,"M1,5V ","8,08","11,624 ± 0,039",And
Грумбридж 34 / B ,30,"M3,5V ","11,06","11,624 ± 0,039",And
ε Индейца / A ,32,K5Ve ,"4,69","11,824 ± 0,030",Ind
ε Индейца / B ,32,T1V ,>23,"11,824 ± 0,030",Ind
ε Индейца / C ,32,T6V ,>23,"11,824 ± 0,030",Ind
DX Рака ,35,"M6,5Ve","14,78","11,826 ± 0,129",Cnc
τ Кита ,36,G8Vp ,"3,49","11,887 ± 0,033",Cet
GJ 1061 ,37,"M5,5V ","13,09","11,991 ± 0,057",Hor
YZ Кита ,38,"M4,5V ","12,02","12,132 ± 0,133",Cet
Звезда Лейтена ,39,"M3,5Vn","9,86","12,366 ± 0,059",Cmi
Звезда Тигардена ,40,"M6,5V","15,14","12,514 ± 0,129",Ari
SCR 1845-6357 A ,41,"M8,5V ","17,39","12,571 ± 0,054",Pav 
SCR 1845-6357 B ,42,T6,,"12,571 ± 0,054",Pav 
Звезда Каптейна ,43,"M1,5V ","8,84","12,777 ± 0,043",Pic 
Лакайль 8760 ,44,M0V ,"6,67","12,870 ± 0,057",Mic 
WISE J053516.80-750024.9 ,45,>=Y1,,"13,046",Men 
Крюгер 60 A ,46,M3V ,"9,79","13,149 ± 0,074",Cep 
Крюгер 60 B ,46,M4V ,"11,41","13,149 ± 0,074",Cep 
DEN 1048-3956 ,48,"M8,5V ","17,39","13,167 ± 0,082",Ant
UGPS J072227.51-054031.2 ,49,T9,,"13,259",Mon
Росс 614 A ,50,"M4,5V ","11,15","13,349 ± 0,110",Mon
Росс 614 B ,50,"M5,5V","14,23","13,349 ± 0,110",Mon
Вольф 1061 ,53,M3V ,"10,07","13,820 ± 0,098",Oph 
Звезда ван Маанена ,54,DZ7 ,"12,38","14,066 ± 0,109",Psc
Глизе 1 ,55,M3V ,"8,55","14,231 ± 0,066",Scl
Вольф 424 A ,56,"M5,5Ve","13,18","14,312 ± 0,289",Vir
Вольф 424 B ,56,M7Ve,"13,17","14,312 ± 0,289",Vir
TZ Овна ,58,"M4,5V ","12,27","14,509 ± 0,187",Ari
Глизе 687 ,59,M3V ,"9,17","14,793 ± 0,055",Dra
LHS 292 ,60,"M6,5V ","15,6","14,805 ± 0,242",Sex
Глизе 674 ,61,M3V ,"9,38","14,809 ± 0,107",Ara
GJ 1245 A ,62,"M5,5V ","13,46","14,812 ± 0,067",Cyg 
GJ 1245 B ,62,M6V ,"14,01","14,812 ± 0,067",Cyg 
GJ 1245 C ,62,M?,"16,75","14,812 ± 0,067",Cyg 
WISE J1741+2553[24] ,65,T9-T10,,"15,003 ± 3,588",Her
GJ 440 ,66,DQ6 ,"11,5","15,060 ± 0,140",Mus
GJ 1002 ,67,"M5,5V ","13,76","15,313 ± 0,259",Cet
Глизе 876[25] ,68,"M3,5V ","10,17","15,342 ± 0,141",Aqr
LHS 288 ,69,"M5,5V ","13,9","15,610 ± 0,204",Car
GJ 412 A ,70,M1V ,"8,77","15,832 ± 0,083",Uma
GJ 412 B ,70,"M5,5V ","14,48","15,832 ± 0,083",Uma
Грумбридж 1618 ,72,K7V ,"6,59","15,848 ± 0,052",Uma
GJ 388 ,73,M3V ,"9,32","15,942 ± 0,218",Leo
GJ 832 ,74,M3V ,"8,66","16,085 ± 0,105",Gru
DEN 0255-4700 ,75,"L7,5V ","22,92","16,197 ± 0,313",Eri
GJ 682 ,76,"M4,5V ","10,95","16,337 ± 0,188",Sco
Звезда или коричневый карлик ,,Спек. класс ,Вид. зв. вел. ,Рассто­я­ние,
